Papel,Empresa,Setor,Cotação,P/L,EV/EBITDA,P/VP,ROE,Div.Yield,Cresc. Rec.5a,Dív.Brut/ Patrim.,Patrim. Líq
PRNR3,PRINER,Serviços Diversos,10.98,-1892.98,5.45,2.26,-0.12,0.0,36.3,1.2,227184000.0
ATOM3,ATOMPAR,Outros,1.99,-584.84,-9.82,2.59,-0.44,16.1,20.53,0.0,18297000.0
LVTC3,WDC NETWORKS,Programas e Serviços,3.89,-476.4,0.38,0.39,-0.08,0.35,-10.31,0.0,644883000.0
EMBR3,EMBRAER,Material de Transporte,22.51,-408.11,6.81,1.31,-0.32,0.0,21.6,1.12,12757400000.0
LWSA3,LOCAWEB,Programas e Serviços,5.42,-365.3,11.9,1.11,-0.3,0.96,41.7,0.02,2921510000.0
RRRP3,3R PETROLEUM,"Petróleo, Gás e Biocombustíveis",29.33,-191.68,10.5,1.36,-0.71,0.0,153.8,1.65,5185410000.0
BAUH4,EXCELSIOR,Alimentos Processados,80.86,-148.84,27.01,4.27,-2.87,1.5,4.28,0.08,98833000.0
CBEE3,AMPLA ENERG,Energia Elétrica,12.0,-85.91,4.32,0.57,-0.66,0.0,9.51,1.04,5368910000.0
CSAN3,COSAN SA INDUSTRIA E COMERCIO,"Petróleo, Gás e Biocombustíveis",18.94,-76.82,8.08,1.92,-2.5,2.26,39.1,3.37,18481500000.0
MAPT3,CIA MARCOPOLO,Outros,12.0,-75.53,-78.77,-1.77,2.35,0.0,0.0,0.0,-6223000.0
MOVI3,MOVIDA,Diversos,8.09,-65.56,3.84,0.97,-1.48,1.49,34.47,4.52,3027690000.0
DOHL3,DOHLER,"Tecidos, Vestuário e Calçados",6.51,-52.79,217.99,0.7,-1.33,0.0,7.38,0.18,699312000.0
OFSA3,OUROFINO S/A,Medicamentos e Outros Produtos,20.75,-47.93,7.36,1.67,-3.49,2.28,14.27,0.53,669547000.0
AURE3,AUREN,Energia Elétrica,13.04,-41.05,10.43,1.05,-2.57,23.01,53.48,0.52,12369000000.0
MNPR3,MINUPAR,Alimentos Processados,20.08,-35.35,1.87,-0.44,1.25,0.0,16.2,0.0,-322426000.0
MGLU3,MAGAZ LUIZA,Comércio,2.04,-34.62,7.72,1.44,-4.17,0.0,19.5,0.78,9532650000.0
BALM3,BAUMER,Equipamentos,11.7,-31.44,2.5,0.78,-2.48,7.58,3.82,0.15,146999000.0
CSNA3,CSN,Siderurgia e Metalurgia,19.04,-28.68,5.03,1.42,-4.96,10.29,17.89,2.45,17762500000.0
CLSA3,CLEARSALE,Serviços Financeiros Diversos,3.9,-26.13,-8.81,1.02,-3.92,0.0,6.43,0.06,716090000.0
HAPV3,HAPVIDA,Serv.Méd.Hospit. Análises e Diagnósticos,3.48,-25.61,14.15,0.53,-2.09,0.0,52.89,0.22,49114400000.0
